club_id,club_code,name,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,last_season,url,transfer_euros
7378,portimonense-sc,325,PO1,32,25.1,23,71.9,3,Portimonense Estádio,6000,+€12.10m,2022,https://www.transfermarkt.co.uk/portimonense-sc/startseite/verein/7378,12100000.0
1148,fc-brentford,74,GB1,25,25.6,19,76.0,15,Brentford Community Stadium,17250,€-47.90m,2022,https://www.transfermarkt.co.uk/fc-brentford/startseite/verein/1148,-47900000.0
1158,fc-lorient,169,FR1,26,24.6,12,46.2,7,Stade du Moustoir,19010,+€9.25m,2022,https://www.transfermarkt.co.uk/fc-lorient/startseite/verein/1158,9250000.0
1237,brighton-amp-hove-albion,76,GB1,25,24.8,18,72.0,13,AMEX Stadium,31800,+€82.17m,2022,https://www.transfermarkt.co.uk/brighton-amp-hove-albion/startseite/verein/1237,82170000.0
148,tottenham-hotspur,434,GB1,25,26.7,17,68.0,16,Tottenham Hotspur Stadium,62062,€-139.15m,2022,https://www.transfermarkt.co.uk/tottenham-hotspur/startseite/verein/148,-139150000.0
3,1-fc-koln,168,L1,34,24.6,11,32.4,7,RheinEnergieSTADION,50000,+€5.52m,2022,https://www.transfermarkt.co.uk/1-fc-koln/startseite/verein/3,5520000.0
31,fc-liverpool,272,GB1,30,26.6,21,70.0,17,Anfield,54074,€-56.60m,2022,https://www.transfermarkt.co.uk/fc-liverpool/startseite/verein/31,-56600000.0
379,west-ham-united,473,GB1,22,28.2,16,72.7,13,London Stadium,62500,€-172.45m,2022,https://www.transfermarkt.co.uk/west-ham-united/startseite/verein/379,-172450000.0
385,fortuna-sittard,211,NL1,26,25.8,18,69.2,2,Fortuna Sittard Stadion,12500,+€400k,2022,https://www.transfermarkt.co.uk/fortuna-sittard/startseite/verein/385,400000.0
3911,stade-brest-29,417,FR1,26,25.5,9,34.6,4,Stade Francis-Le Blé,15097,€-3.25m,2022,https://www.transfermarkt.co.uk/stade-brest-29/startseite/verein/3911,-3250000.0
405,aston-villa,50,GB1,23,27.2,16,69.6,13,Villa Park,42682,€-46.14m,2022,https://www.transfermarkt.co.uk/aston-villa/startseite/verein/405,-46140000.0
417,ogc-nizza,304,FR1,27,24.3,18,66.7,13,Allianz Riviera,36178,€-39.60m,2022,https://www.transfermarkt.co.uk/ogc-nizza/startseite/verein/417,-39600000.0
418,real-madrid,345,ES1,25,27.4,17,68.0,16,Santiago Bernabéu,81044,+€12.15m,2022,https://www.transfermarkt.co.uk/real-madrid/startseite/verein/418,12150000.0
467,nec-nijmegen,296,NL1,27,24.2,9,33.3,1,Goffertstadion,12500,€-1.00m,2022,https://www.transfermarkt.co.uk/nec-nijmegen/startseite/verein/467,-1000000.0
